Description,Date,Distance,Average Moving Speed,Max Speed
West Didsbury to Altrincham ,13/09/2012 07:55,6.4,15.42,22.67
Altrincham to West Didsbury ,13/09/2012 17:43,6.28,16.06,26.17
West Didsbury to Altrincham ,14/09/2012 07:54,6.3,15.09,24.07
Altrincham to West Didsbury ,14/09/2012 18:10,6.34,17.64,28.68
Route 85,15/09/2012 13:32,20.27,13.91,30.22
West Didsbury to Altrincham ,17/09/2012 07:57,6.34,15.28,24.07
Altrincham to West Didsbury ,17/09/2012 17:49,6.3,17.81,29.94
West Didsbury to Altrincham ,18/09/2012 07:54,6.38,15.57,24.07
West Didsbury to Altrincham ,19/09/2012 07:52,6.34,15.63,26.03
Altrincham to West Didsbury ,19/09/2012 17:48,6.29,16.4,28.82
West Didsbury to Altrincham ,20/09/2012 07:52,6.45,15.04,29.66
Altrincham to West Didsbury ,20/09/2012 17:43,6.27,16.77,30.64
West Didsbury to Altrincham ,21/09/2012 07:54,6.37,16.37,25.61
Altrincham to West Didsbury ,21/09/2012 18:26,6.35,16.3,27.42
Airport Loop ,22/09/2012 10:37,21.73,18.37,34.28
West Didsbury to Croft ,22/09/2012 17:15,20.52,16.76,28.26
Croft to West Didsbury ,23/09/2012 14:09,20.49,16.06,26.58
West Didsbury to Altrincham ,25/09/2012 07:53,6.32,14.86,24.63
West Didsbury to Altrincham ,26/09/2012 07:54,6.37,15.84,24.63
Altrincham to West Didsbury ,26/09/2012 17:48,6.26,15.47,23.37
Altrincham to West Didsbury ,28/09/2012 18:25,6.29,16.68,27.84
West Didsbury to Altrincham ,1/10/2012 7:53:00,6.33,14.24,24.49
Altrincham to West Didsbury ,1/10/2012 17:43:00,6.24,16.79,26.31
Altrincham to West Didsbury ,1/10/2012 17:43:00,6.24,16.79,26.31
West Didsbury to Altrincham ,2/10/2012 7:50:00,6.37,15.03,25.19
Altrincham to West Didsbury ,2/10/2012 17:44:00,6.26,15.88,26.17
West Didsbury to Altrincham ,3/10/2012 7:52:00,6.37,13.31,24.21
Altrincham to West Didsbury ,3/10/2012 17:40:00,6.29,15.49,27.56
West Didsbury to Altrincham ,4/10/2012 7:53:00,6.4,13.93,23.09
Altrincham to West Didsbury ,4/10/2012 17:44:00,6.26,16.19,28.4
West Didsbury to Altrincham ,8/10/2012 7:56:00,6.35,14.09,28.54
Altrincham to West Didsbury ,8/10/2012 17:44:00,6.36,15.19,27.7
West Didsbury to Altrincham ,9/10/2012 7:54:00,6.35,15.1,23.65
Altrincham to West Didsbury ,9/10/2012 18:18:00,6.37,13.05,26.72
